Compare Type," ""Source Offset"""," ""Source Count (dec)"""," ""Source Count (hex)"""," ""Target Offset"""," ""Target Count (dec)"""," ""Target Count (hex)"""
Matched,0,2832, 0B10,0,2832, 0B10
Replaced, 00000B10,1,1, 00000B10,1,1
Matched, 00000B11,68,44, 00000B11,68,44
Replaced, 00000B55,6,6, 00000B55,6,6
Matched, 00000B5B,9051, 235B, 00000B5B,9051, 235B
Replaced, 00002EB6,1,1, 00002EB6,1,1
Matched, 00002EB7,591, 024F, 00002EB7,591, 024F
Replaced,3106,25,19,3106,25,19
Matched, 0000311F,43, 2B, 0000311F,43, 2B
Replaced, 0000314A,1,1, 0000314A,1,1
Matched, 0000314B,49,31, 0000314B,49,31
Replaced, 0000317C,79, 4F, 0000317C,85,55
Matched, 000031CB,50,32, 000031D1,50,32
Replaced, 000031FD,1,1,3203,1,1
Matched, 000031FE,110, 6E,3204,110, 6E
Replaced, 0000326C,1,1,3272,1,1
Matched, 0000326D,72,48,3273,72,48
Replaced, 000032B5,1,1, 000032BB,1,1
Matched, 000032B6,180, B4, 000032BC,180, B4
Replaced, 0000336A,1,1,3370,1,1
Matched, 0000336B,56,38,3371,56,38
Replaced, 000033A3,1,1, 000033A9,1,1
Matched, 000033A4,52,34, 000033AA,52,34
Replaced, 000033D8,1,1, 000033DE,1,1
Matched, 000033D9,40,28, 000033DF,40,28
Replaced,3401,1,1,3407,1,1
Matched,3402,37,25,3408,37,25
Replaced,3427,1,1, 0000342D,1,1
Matched,3428,144,90, 0000342E,144,90
Replaced, 000034B8,1,1, 000034BE,1,1
Matched, 000034B9,56,38, 000034BF,56,38
Replaced, 000034F1,1,1, 000034F7,1,1
Matched, 000034F2,87,57, 000034F8,87,57
Replaced,3549,36,24, 0000354F,36,24
Matched, 0000356D,40,28,3573,40,28
Replaced,3595,26, 1A, 0000359B,26, 1A
Matched, 000035AF,67,43, 000035B5,67,43
Replaced, 000035F2,7,7, 000035F8,7,7
Matched, 000035F9,67,43, 000035FF,67,43
Replaced, 0000363C,24,18,3642,24,18
Matched,3654,300, 012C, 0000365A,300, 012C
Replaced,3780,58, 3A,3786,58, 3A
Matched, 000037BA,92, 5C, 000037C0,92, 5C
Replaced,3816,1,1, 0000381C,1,1
Matched,3817,44, 2C, 0000381D,44, 2C
Replaced,3843,1,1,3849,1,1
Matched,3844,32,20, 0000384A,32,20
Replaced,3864,1,1, 0000386A,1,1
Matched,3865,110, 6E, 0000386B,110, 6E
Replaced, 000038D3,1,1, 000038D9,1,1
Matched, 000038D4,92, 5C, 000038DA,92, 5C
Replaced,3930,1,1,3936,1,1
Matched,3931,76, 4C,3937,76, 4C
Replaced, 0000397D,23,17,3983,23,17
Matched,3994,121,79, 0000399A,121,79
Replaced, 00003A0D,1,1, 00003A13,1,1
Matched, 00003A0E,74, 4A, 00003A14,74, 4A
Replaced, 00003A58,8,8, 00003A5E,8,8
Matched, 00003A60,45, 2D, 00003A66,45, 2D
Replaced, 00003A8D,1,1, 00003A93,1,1
Matched, 00003A8E,34,22, 00003A94,34,22
Replaced, 00003AB0,1,1, 00003AB6,1,1
Matched, 00003AB1,33,21, 00003AB7,33,21
Replaced, 00003AD2,1,1, 00003AD8,1,1
Matched, 00003AD3,106, 6A, 00003AD9,106, 6A
Replaced, 00003B3D,16,10, 00003B43,16,10
Matched, 00003B4D,97,61, 00003B53,97,61
Replaced, 00003BAE,23,17, 00003BB4,23,17
Matched, 00003BC5,250, FA, 00003BCB,250, FA
Replaced, 00003CBF,1,1, 00003CC5,1,1
Matched, 00003CC0,135,87, 00003CC6,135,87
Replaced, 00003D47,8,8, 00003D4D,8,8
Matched, 00003D4F,57,39, 00003D55,57,39
Replaced, 00003D88,1,1, 00003D8E,1,1
Matched, 00003D89,55,37, 00003D8F,55,37
Replaced, 00003DC0,28, 1C, 00003DC6,28, 1C
Matched, 00003DDC,1190, 04A6, 00003DE2,1190, 04A6
Replaced,4282,6,6,4288,6,6
Matched,4288,224, E0, 0000428E,224, E0
Replaced,4368,23,17, 0000436E,23,17
Matched, 0000437F,33,21,4385,33,21
Replaced, 000043A0,1,1, 000043A6,1,1
Matched, 000043A1,40,28, 000043A7,40,28
Replaced, 000043C9,19,13, 000043CF,19,13
Matched, 000043DC,324,144,4.30E+03,324,144
Replaced,4520,1,1,4526,1,1
Matched,4521,112,70,4527,112,70
Replaced,4591,13, 0D,4597,13, 0D
Matched, 0000459E,78, 4E, 000045A4,78, 4E
Replaced, 000045EC,1,1, 000045F2,1,1
Matched, 000045ED,94, 5E, 000045F3,94, 5E
Replaced, 0000464B,62, 3E,4651,62, 3E
Matched,4689,75, 4B, 0000468F,75, 4B
Replaced, 000046D4,21,15, 000046DA,21,15
Matched,4.60E+10,165, A5, 000046EF,165, A5
Replaced, 0000478E,60, 3C,4794,60, 3C
Matched, 000047CA,45, 2D, 000047D0,45, 2D
Replaced, 000047F7,66,42, 000047FD,66,42
Matched,4839,38,26, 0000483F,38,26
Replaced, 0000485F,20,14,4865,20,14
Matched,4873,100,64,4879,100,64
Replaced, 000048D7,23,17, 000048DD,23,17
Matched, 000048EE,35,23, 000048F4,35,23
Replaced,4911,19,13,4917,19,13
Matched,4924,143, 8F, 0000492A,143, 8F
Replaced, 000049B3,6,6, 000049B9,6,6
Matched, 000049B9,38,26, 000049BF,38,26
Replaced, 000049DF,25,19,4.90E+06,25,19
Matched, 000049F8,39,27, 000049FE,39,27
Replaced, 00004A1F,24,18, 00004A25,24,18
Matched, 00004A37,94, 5E, 00004A3D,94, 5E
Replaced, 00004A95,62, 3E, 00004A9B,62, 3E
Matched, 00004AD3,126, 7E, 00004AD9,126, 7E
Replaced, 00004B51,41,29, 00004B57,41,29
Matched, 00004B7A,56,38, 00004B80,56,38
Replaced, 00004BB2,145,91, 00004BB8,145,91
Matched, 00004C43,33,21, 00004C49,33,21
Replaced, 00004C64,16,10, 00004C6A,16,10
Matched, 00004C74,63, 3F, 00004C7A,63, 3F
Replaced, 00004CB3,16,10, 00004CB9,16,10
Matched, 00004CC3,4919,1337, 00004CC9,4919,1337
Inserted, 00005FFA,6,6,6000,0,0
Matched,6000,26192,6650,6000,26192,6650
Replaced, 0000C650,32,20, 0000C650,32,20
Matched, 0000C670,373,175, 0000C670,373,175
Replaced, 0000C7E5,1,1, 0000C7E5,1,1
Matched, 0000C7E6,55,37, 0000C7E6,55,37
Replaced, 0000C81D,1,1, 0000C81D,1,1
Matched, 0000C81E,271, 010F, 0000C81E,271, 010F
Replaced, 0000C92D,9,9, 0000C92D,9,9
Matched, 0000C936,182, B6, 0000C936,182, B6
Replaced, 0000C9EC,33,21, 0000C9EC,33,21
Matched, 0000CA0D,138, 8A, 0000CA0D,138, 8A
Replaced, 0000CA97,33,21, 0000CA97,33,21
Matched, 0000CAB8,197, C5, 0000CAB8,197, C5
Replaced, 0000CB7D,17,11, 0000CB7D,17,11
Matched, 0000CB8E,3692, 0E6C, 0000CB8E,3692, 0E6C
Replaced, 0000D9FA,1,1, 0000D9FA,1,1
Matched, 0000D9FB,120,78, 0000D9FB,120,78
Replaced, 0000DA73,61, 3D, 0000DA73,61, 3D
Matched, 0000DAB0,6502,1966, 0000DAB0,6502,1966
Replaced, 0000F416,10, 0A, 0000F416,10, 0A
Matched, 0000F420,2963, 0B93, 0000F420,2963, 0B93
Replaced, 0000FFB3,45, 2D, 0000FFB3,45, 2D
Matched, 0000FFE0,2699, 0A8B, 0000FFE0,2699, 0A8B
Replaced, 00010A6B,201, C9, 00010A6B,201, C9
Matched, 00010B34,382, 017E, 00010B34,382, 017E
Replaced, 00010CB2,33,21, 00010CB2,33,21
Matched, 00010CD3,41,29, 00010CD3,41,29
Replaced, 00010CFC,1,1, 00010CFC,1,1
Matched, 00010CFD,34,22, 00010CFD,34,22
Replaced, 00010D1F,1,1, 00010D1F,1,1
Matched, 00010D20,954, 03BA, 00010D20,954, 03BA
Replaced, 000110DA,2,2, 000110DA,2,2
Matched, 000110DC,1447, 05A7, 000110DC,1447, 05A7
Replaced,11683,37,25,11683,37,25
Matched, 000116A8,537,219, 000116A8,537,219
Replaced, 000118C1,2,2, 000118C1,2,2
Matched, 000118C3,1478, 05C6, 000118C3,1478, 05C6
Replaced,1.10E+90,1,1,1.10E+90,1,1
Matched, 00011E8A,177, B1, 00011E8A,177, B1
Replaced, 00011F3B,1,1, 00011F3B,1,1
Matched, 00011F3C,264,108, 00011F3C,264,108
Replaced,12044,1,1,12044,1,1
Matched,12045,1286,506,12045,1286,506
Replaced, 0001254B,26, 1A, 0001254B,26, 1A
Matched,12565,32,20,12565,32,20
Replaced,12585,26, 1A,12585,26, 1A
Matched, 0001259F,73,49, 0001259F,73,49
Replaced,1.25E+10,21,15,1.25E+10,21,15
Matched, 000125FD,94, 5E, 000125FD,94, 5E
Replaced, 0001265B,65,41, 0001265B,65,41
Matched, 0001269C,379, 017B, 0001269C,379, 017B
Replaced,12817,22,16,12817,22,16
Matched, 0001282D,1326, 052E, 0001282D,1326, 052E
Replaced, 00012D5B,22,16, 00012D5B,22,16
Matched, 00012D71,1523, 05F3, 00012D71,1523, 05F3
Replaced,13364,1,1,13364,1,1
Matched,13365,122, 7A,13365,122, 7A
Replaced, 000133DF,1,1, 000133DF,1,1
Matched,1.33E+02,60, 3C,1.33E+02,60, 3C
Replaced, 0001341C,1,1, 0001341C,1,1
Matched, 0001341D,67,43, 0001341D,67,43
Replaced,13460,1,1,13460,1,1
Matched,13461,57,39,13461,57,39
Replaced, 0001349A,1,1, 0001349A,1,1
Matched, 0001349B,2166,876, 0001349B,2166,876
Replaced, 00013D11,1,1, 00013D11,1,1
Matched, 00013D12,55,37, 00013D12,55,37
Replaced, 00013D49,1,1, 00013D49,1,1
Matched, 00013D4A,65,41, 00013D4A,65,41
Replaced, 00013D8B,1,1, 00013D8B,1,1
Matched, 00013D8C,52,34, 00013D8C,52,34
Replaced, 00013DC0,1,1, 00013DC0,1,1
Matched, 00013DC1,194, C2, 00013DC1,194, C2
Replaced,1.30E+84,1,1,1.30E+84,1,1
Matched,1.30E+85,55,37,1.30E+85,55,37
Replaced, 00013EBB,1,1, 00013EBB,1,1
Matched, 00013EBC,4586, 11EA, 00013EBC,4586, 11EA
Replaced, 000150A6,1,1, 000150A6,1,1
Matched, 000150A7,249, F9, 000150A7,249, F9
Replaced, 000151A0,1,1, 000151A0,1,1
Matched, 000151A1,637, 027D, 000151A1,637, 027D
Replaced, 0001541E,1,1, 0001541E,1,1
Matched, 0001541F,217, D9, 0001541F,217, D9
Replaced, 000154F8,1,1, 000154F8,1,1
Matched, 000154F9,106, 6A, 000154F9,106, 6A
Replaced,15563,1,1,15563,1,1
Matched,15564,410, 019A,15564,410, 019A
Replaced, 000156FE,1,1, 000156FE,1,1
Matched, 000156FF,50,32, 000156FF,50,32
Replaced,15731,1,1,15731,1,1
Matched,15732,32,20,15732,32,20
Replaced,15752,1,1,15752,1,1
Matched,15753,49,31,15753,49,31
Replaced,15784,1,1,15784,1,1
Matched,15785,60, 3C,15785,60, 3C
Replaced, 000157C1,1,1, 000157C1,1,1
Matched, 000157C2,217, D9, 000157C2,217, D9
Replaced, 0001589B,1,1, 0001589B,1,1
Matched, 0001589C,178, B2, 0001589C,178, B2
Replaced, 0001594E,1,1, 0001594E,1,1
Matched, 0001594F,241, F1, 0001594F,241, F1
Replaced, 00015A40,12, 0C, 00015A40,12, 0C
Matched, 00015A4C,72,48, 00015A4C,72,48
Replaced, 00015A94,12, 0C, 00015A94,12, 0C
Matched, 00015AA0,72,48, 00015AA0,72,48
Replaced, 00015AE8,46, 2E, 00015AE8,46, 2E
Matched, 00015B16,72,48, 00015B16,72,48
Replaced, 00015B5E,29, 1D, 00015B5E,29, 1D
Matched, 00015B7B,98,62, 00015B7B,98,62
Replaced, 00015BDD,1,1, 00015BDD,1,1
Matched, 00015BDE,1006, 03EE, 00015BDE,1006, 03EE
Replaced, 00015FCC,1,1, 00015FCC,1,1
Matched, 00015FCD,148,94, 00015FCD,148,94
Replaced,16061,1,1,16061,1,1
Matched,16062,560,230,16062,560,230
Replaced,16292,20,14,16292,20,14
Matched, 000162A6,49,31, 000162A6,49,31
Replaced, 000162D7,1,1, 000162D7,1,1
Matched, 000162D8,439, 01B7, 000162D8,439, 01B7
Replaced, 0001648F,1,1, 0001648F,1,1
Matched,16490,148,94,16490,148,94
Replaced,16524,1,1,16524,1,1
Matched,16525,111, 6F,16525,111, 6F
Replaced,16594,1,1,16594,1,1
Matched,16595,51,33,16595,51,33
Replaced, 000165C8,1,1, 000165C8,1,1
Matched, 000165C9,109, 6D, 000165C9,109, 6D
Replaced,16636,18,12,16636,18,12
Matched,16648,48,30,16648,48,30
Replaced,16678,1,1,16678,1,1
Matched,16679,448, 01C0,16679,448, 01C0
Replaced,16839,1,1,16839,1,1
Matched, 0001683A,99,63, 0001683A,99,63
Replaced, 0001689D,1,1, 0001689D,1,1
Matched, 0001689E,119,77, 0001689E,119,77
Replaced,16915,1,1,16915,1,1
Matched,16916,516,204,16916,516,204
Replaced, 00016B1A,16,10, 00016B1A,16,10
Matched, 00016B2A,89,59, 00016B2A,89,59
Replaced, 00016B83,1,1, 00016B83,1,1
Matched, 00016B84,119,77, 00016B84,119,77
Replaced, 00016BFB,1,1, 00016BFB,1,1
Matched, 00016BFC,159, 9F, 00016BFC,159, 9F
Replaced, 00016C9B,1,1, 00016C9B,1,1
Matched, 00016C9C,71,47, 00016C9C,71,47
Replaced, 00016CE3,1,1, 00016CE3,1,1
Matched, 00016CE4,83,53, 00016CE4,83,53
Replaced, 00016D37,1,1, 00016D37,1,1
Matched, 00016D38,75, 4B, 00016D38,75, 4B
Replaced, 00016D83,1,1, 00016D83,1,1
Matched, 00016D84,203, CB, 00016D84,203, CB
Replaced, 00016E4F,1,1, 00016E4F,1,1
Matched,1.60E+51,266, 010A,1.60E+51,266, 010A
Replaced, 00016F5A,73,49, 00016F5A,73,49
Matched, 00016FA3,982, 03D6, 00016FA3,982, 03D6
Replaced,17379,1,1,17379,1,1
Matched, 0001737A,478, 01DE, 0001737A,478, 01DE
Replaced,17558,1,1,17558,1,1
Matched,17559,153,99,17559,153,99
Replaced, 000175F2,39,27, 000175F2,36,24
Matched,17619,87,57,17616,87,57
Replaced,17670,30, 1E, 0001766D,30, 1E
Matched, 0001768E,61, 3D, 0001768B,61, 3D
Replaced, 000176CB,1,1, 000176C8,1,1
Matched, 000176CC,52,34, 000176C9,52,34
Replaced,17700,1,1, 000176FD,1,1
Matched,17701,75, 4B, 000176FE,75, 4B
Replaced, 0001774C,29, 1D,17749,29, 1D
Matched,17769,53,35,17766,53,35
Replaced, 0001779E,48,30, 0001779B,48,30
Matched, 000177CE,2098,832, 000177CB,2098,832
Deleted,18000,0,0, 00017FFD,3,3
Matched,18000,34585,8719,18000,34585,8719
Replaced,20719,100,64,20719,100,64
Matched, 0002077D,32,20, 0002077D,32,20
Replaced, 0002079D,1,1, 0002079D,1,1
Matched, 0002079E,38,26, 0002079E,38,26
Replaced, 000207C4,43, 2B, 000207C4,43, 2B
Matched, 000207EF,65,41, 000207EF,65,41
Replaced,20830,13, 0D,20830,13, 0D
Matched, 0002083D,62, 3E, 0002083D,62, 3E
Replaced, 0002087B,295,127, 0002087B,295,127
Matched, 000209A2,604, 025C, 000209A2,604, 025C
Replaced, 00020BFE,31, 1F, 00020BFE,31, 1F
Matched, 00020C1D,277,115, 00020C1D,277,115
Replaced, 00020D32,1,1, 00020D32,1,1
Matched, 00020D33,102,66, 00020D33,102,66
Replaced, 00020D99,1,1, 00020D99,1,1
Matched, 00020D9A,44, 2C, 00020D9A,44, 2C
Replaced, 00020DC6,1,1, 00020DC6,1,1
Matched, 00020DC7,139, 8B, 00020DC7,139, 8B
Replaced,2.00E+53,60, 3C,2.00E+53,60, 3C
Matched, 00020E8E,946, 03B2, 00020E8E,946, 03B2
Replaced,21240,1,1,21240,1,1
Matched,21241,116,74,21241,116,74
Replaced, 000212B5,15, 0F, 000212B5,15, 0F
Matched, 000212C4,872,368, 000212C4,872,368
Replaced, 0002162C,29, 1D, 0002162C,29, 1D
Matched,21649,128,80,21649,128,80
Replaced, 000216C9,1,1, 000216C9,1,1
Matched, 000216CA,32,20, 000216CA,32,20
Replaced, 000216EA,25,19, 000216EA,25,19
Matched,21703,2062, 080E,21703,2062, 080E
Replaced, 00021F11,1,1, 00021F11,1,1
Matched, 00021F12,1326, 052E, 00021F12,1326, 052E
Replaced,22440,1,1,22440,1,1
Matched,22441,32,20,22441,32,20
Replaced,22461,1,1,22461,1,1
Matched,22462,105,69,22462,105,69
Replaced, 000224CB,31, 1F, 000224CB,31, 1F
Matched, 000224EA,58911, E61F, 000224EA,58911, E61F
Replaced, 00030B09,1,1, 00030B09,1,1
Matched, 00030B0A,1148, 047C, 00030B0A,1148, 047C
Replaced, 00030F86,1,1, 00030F86,1,1
Matched, 00030F87,117,75, 00030F87,117,75
Replaced, 00030FFC,1,1, 00030FFC,1,1
Matched, 00030FFD,1585,631, 00030FFD,1585,631
Replaced, 0003162E,1,1, 0003162E,1,1
Matched, 0003162F,79, 4F, 0003162F,79, 4F
Replaced, 0003167E,1,1, 0003167E,1,1
Matched, 0003167F,1603,643, 0003167F,1603,643
Replaced, 00031CC2,1,1, 00031CC2,1,1
Matched, 00031CC3,73,49, 00031CC3,73,49
Replaced, 00031D0C,1,1, 00031D0C,1,1
Matched, 00031D0D,172, AC, 00031D0D,172, AC
Replaced, 00031DB9,1,1, 00031DB9,1,1
Matched, 00031DBA,37,25, 00031DBA,37,25
Replaced, 00031DDF,1,1, 00031DDF,1,1
Matched, 00031DE0,486,1.00E+06, 00031DE0,486,1.00E+06
Replaced, 00031FC6,1,1, 00031FC6,1,1
Matched, 00031FC7,750, 02EE, 00031FC7,750, 02EE
Replaced, 000322B5,1,1, 000322B5,1,1
Matched, 000322B6,380, 017C, 000322B6,380, 017C
Replaced,32432,1,1,32432,1,1
Matched,32433,148,94,32433,148,94
Replaced, 000324C7,31, 1F, 000324C7,31, 1F
Matched,3.24E+08,456, 01C8,3.24E+08,456, 01C8
Replaced, 000326AE,1,1, 000326AE,1,1
Matched, 000326AF,1112,458, 000326AF,1112,458
Replaced, 00032B07,1,1, 00032B07,1,1
Matched, 00032B08,48,30, 00032B08,48,30
Replaced, 00032B38,1,1, 00032B38,1,1
Matched, 00032B39,541, 021D, 00032B39,541, 021D
Replaced, 00032D56,2,2, 00032D56,2,2
Matched, 00032D58,1036, 040C, 00032D58,1036, 040C
Replaced,33164,1,1,33164,1,1
Matched,33165,112,70,33165,112,70
Replaced, 000331D5,1,1, 000331D5,1,1
Matched, 000331D6,394, 018A, 000331D6,394, 018A
Replaced,33360,1,1,33360,1,1
Matched,33361,661,295,33361,661,295
Replaced, 000335F6,1,1, 000335F6,1,1
Matched, 000335F7,405,195, 000335F7,405,195
Replaced, 0003378C,1,1, 0003378C,1,1
Matched, 0003378D,461, 01CD, 0003378D,461, 01CD
Replaced, 0003395A,32,20, 0003395A,32,20
Matched, 0003397A,927, 039F, 0003397A,927, 039F
Replaced, 00033D19,1,1, 00033D19,1,1
Matched, 00033D1A,210, D2, 00033D1A,210, D2
Replaced, 00033DEC,1,1, 00033DEC,1,1
Matched, 00033DED,34,22, 00033DED,34,22
Replaced, 00033E0F,34,22, 00033E0F,34,22
Matched,3.30E+32,87,57,3.30E+32,87,57
Replaced,3.30E+89,13, 0D,3.30E+89,13, 0D
Matched,3.30E+96,937, 03A9,3.30E+96,937, 03A9
Replaced, 0003423E,1,1, 0003423E,1,1
Matched, 0003423F,173, AD, 0003423F,173, AD
Replaced, 000342EC,2,2, 000342EC,2,2
Matched, 000342EE,156, 9C, 000342EE,156, 9C
Replaced, 0003438A,1,1, 0003438A,1,1
Matched, 0003438B,1417,589, 0003438B,1417,589
Replaced,34914,1,1,34914,1,1
Matched,34915,46931, B753,34915,46931, B753
Replaced,40068,1,1,40068,1,1
Matched,40069,72,48,40069,72,48
Replaced, 000400B1,1,1, 000400B1,1,1
Matched, 000400B2,164, A4, 000400B2,164, A4
Replaced,40156,13, 0D,40156,13, 0D
Matched,40163,237, ED,40163,237, ED
Replaced,40250,1,1,40250,1,1
Matched,40251,77, 4D,40251,77, 4D
Replaced, 0004029E,1,1, 0004029E,1,1
Matched, 0004029F,149,95, 0004029F,149,95
Replaced,40334,2,2,40334,2,2
Matched,40336,58, 3A,40336,58, 3A
Replaced,40370,1,1,40370,1,1
Matched,40371,65,41,40371,65,41
Replaced, 000403B2,1,1, 000403B2,1,1
Matched, 000403B3,62, 3E, 000403B3,62, 3E
Replaced, 000403F1,31, 1F, 000403F1,31, 1F
Matched,40410,58, 3A,40410,58, 3A
Replaced, 0004044A,1,1, 0004044A,1,1
Matched, 0004044B,63, 3F, 0004044B,63, 3F
Replaced, 0004048A,2,2, 0004048A,2,2
Matched, 0004048C,85,55, 0004048C,85,55
Replaced,4.04E+03,1,1,4.04E+03,1,1
Matched,4.04E+04,53,35,4.04E+04,53,35
Replaced,40517,2,2,40517,2,2
Matched,40519,50,32,40519,50,32
Replaced, 0004054B,1,1, 0004054B,1,1
Matched, 0004054C,54,36, 0004054C,54,36
Replaced,40582,1,1,40582,1,1
Matched,40583,486,1.00E+06,40583,486,1.00E+06
Replaced,40769,1,1,40769,1,1
Matched, 0004076A,1028,404, 0004076A,1028,404
Replaced, 00040B6E,15, 0F, 00040B6E,15, 0F
Matched, 00040B7D,5581, 15CD, 00040B7D,5581, 15CD
Replaced, 0004214A,1,1, 0004214A,1,1
Matched, 0004214B,72,48, 0004214B,72,48
Replaced,42193,1,1,42193,1,1
Matched,42194,149,95,42194,149,95
Replaced,42229,1,1,42229,1,1
Matched, 0004222A,721, 02D1, 0004222A,721, 02D1
Replaced, 000424FB,2,2, 000424FB,2,2
Matched, 000424FD,104,68, 000424FD,104,68
Replaced,42565,1,1,42565,1,1
Matched,42566,78, 4E,42566,78, 4E
Replaced, 000425B4,5,5, 000425B4,5,5
Matched, 000425B9,94, 5E, 000425B9,94, 5E
Replaced,42617,1,1,42617,1,1
Matched,42618,112,70,42618,112,70
Replaced,42688,2,2,42688,2,2
Matched, 0004268A,115,73, 0004268A,115,73
Replaced, 000426FD,1,1, 000426FD,1,1
Matched, 000426FE,50,32, 000426FE,50,32
Replaced,42730,8,8,42730,8,8
Matched,42738,33,21,42738,33,21
Replaced,42759,1,1,42759,1,1
Matched, 0004275A,46, 2E, 0004275A,46, 2E
Replaced,42788,25,19,42788,25,19
Matched, 000427A1,305,131, 000427A1,305,131
Replaced, 000428D2,1,1, 000428D2,1,1
Matched, 000428D3,42, 2A, 000428D3,42, 2A
Replaced, 000428FD,69,45, 000428FD,112,70
Matched,42942,46, 2E, 0004296D,46, 2E
Replaced,42970,2,2, 0004299B,2,2
Matched,42972,133,85, 0004299D,133,85
Replaced, 000429F7,148,94, 00042A22,159, 9F
Matched, 00042A8B,34,22, 00042AC1,34,22
Replaced, 00042AAD,25,19, 00042AE3,25,19
Matched, 00042AC6,33,21, 00042AFC,33,21
Replaced, 00042AE7,98,62, 00042B1D,109, 6D
Matched, 00042B49,49,31, 00042B8A,49,31
Replaced, 00042B7A,1,1, 00042BBB,1,1
