Count,PC Offset,HIROM Offset,PC Pointer,HIROM Pointer,Actual Pointer,Description
0,"11A000","D1A000","11A1EC","D1A1EC","ECA1",
1,"11A002","D1A002","11A1FA","D1A1FA","FAA1",
2,"11A004","D1A004","11A208","D1A208","08A2",
3,"11A006","D1A006","11A216","D1A216","16A2",
4,"11A008","D1A008","11A224","D1A224","24A2",
5,"11A00A","D1A00A","11A232","D1A232","32A2",
6,"11A00C","D1A00C","11A240","D1A240","40A2",
7,"11A00E","D1A00E","11A24E","D1A24E","4EA2",
8,"11A010","D1A010","11A25C","D1A25C","5CA2",
9,"11A012","D1A012","11A26A","D1A26A","6AA2",
10,"11A014","D1A014","11A278","D1A278","78A2",
11,"11A016","D1A016","11A286","D1A286","86A2",
12,"11A018","D1A018","11A294","D1A294","94A2",
13,"11A01A","D1A01A","11A2A2","D1A2A2","A2A2",
14,"11A01C","D1A01C","11A2B0","D1A2B0","B0A2",
15,"11A01E","D1A01E","11A2BE","D1A2BE","BEA2",
16,"11A020","D1A020","11A2CC","D1A2CC","CCA2",
17,"11A022","D1A022","11A2DA","D1A2DA","DAA2",
18,"11A024","D1A024","11A2E8","D1A2E8","E8A2",
19,"11A026","D1A026","11A2F6","D1A2F6","F6A2",
20,"11A028","D1A028","11A304","D1A304","04A3",
21,"11A02A","D1A02A","11A315","D1A315","15A3",
22,"11A02C","D1A02C","11A326","D1A326","26A3",
23,"11A02E","D1A02E","11A337","D1A337","37A3",
24,"11A030","D1A030","11A348","D1A348","48A3",
25,"11A032","D1A032","11A359","D1A359","59A3",
26,"11A034","D1A034","11A36A","D1A36A","6AA3",
27,"11A036","D1A036","11A37B","D1A37B","7BA3",
28,"11A038","D1A038","11A38C","D1A38C","8CA3",
29,"11A03A","D1A03A","11A39D","D1A39D","9DA3",
30,"11A03C","D1A03C","11A3AE","D1A3AE","AEA3",
31,"11A03E","D1A03E","11A3C4","D1A3C4","C4A3",
32,"11A040","D1A040","11A3DA","D1A3DA","DAA3",
33,"11A042","D1A042","11A3F0","D1A3F0","F0A3",
34,"11A044","D1A044","11A406","D1A406","06A4",
35,"11A046","D1A046","11A41C","D1A41C","1CA4",
36,"11A048","D1A048","11A432","D1A432","32A4",
37,"11A04A","D1A04A","11A448","D1A448","48A4",
38,"11A04C","D1A04C","11A45E","D1A45E","5EA4",
39,"11A04E","D1A04E","11A474","D1A474","74A4",
40,"11A050","D1A050","11A48A","D1A48A","8AA4",
41,"11A052","D1A052","11A49D","D1A49D","9DA4",
42,"11A054","D1A054","11A4B0","D1A4B0","B0A4",
43,"11A056","D1A056","11A4C3","D1A4C3","C3A4",
44,"11A058","D1A058","11A4D6","D1A4D6","D6A4",
45,"11A05A","D1A05A","11A4E9","D1A4E9","E9A4",
46,"11A05C","D1A05C","11A4FC","D1A4FC","FCA4",
47,"11A05E","D1A05E","11A50F","D1A50F","0FA5",
48,"11A060","D1A060","11A522","D1A522","22A5",
49,"11A062","D1A062","11A535","D1A535","35A5",
50,"11A064","D1A064","11A548","D1A548","48A5",
51,"11A066","D1A066","11A559","D1A559","59A5",
52,"11A068","D1A068","11A56A","D1A56A","6AA5",
53,"11A06A","D1A06A","11A57B","D1A57B","7BA5",
54,"11A06C","D1A06C","11A58C","D1A58C","8CA5",
55,"11A06E","D1A06E","11A59D","D1A59D","9DA5",
56,"11A070","D1A070","11A5AE","D1A5AE","AEA5",
57,"11A072","D1A072","11A5BF","D1A5BF","BFA5",
58,"11A074","D1A074","11A5D0","D1A5D0","D0A5",
59,"11A076","D1A076","11A5E1","D1A5E1","E1A5",
60,"11A078","D1A078","11A5F2","D1A5F2","F2A5",
61,"11A07A","D1A07A","11A616","D1A616","16A6",
62,"11A07C","D1A07C","11A63A","D1A63A","3AA6",
63,"11A07E","D1A07E","11A65E","D1A65E","5EA6",
64,"11A080","D1A080","11A682","D1A682","82A6",
65,"11A082","D1A082","11A6A6","D1A6A6","A6A6",
66,"11A084","D1A084","11A6CA","D1A6CA","CAA6",
67,"11A086","D1A086","11A6EE","D1A6EE","EEA6",
68,"11A088","D1A088","11A712","D1A712","12A7",
69,"11A08A","D1A08A","11A736","D1A736","36A7",
70,"11A08C","D1A08C","11A75A","D1A75A","5AA7",
71,"11A08E","D1A08E","11A76B","D1A76B","6BA7",
72,"11A090","D1A090","11A77C","D1A77C","7CA7",
73,"11A092","D1A092","11A78D","D1A78D","8DA7",
74,"11A094","D1A094","11A79E","D1A79E","9EA7",
75,"11A096","D1A096","11A7AF","D1A7AF","AFA7",
76,"11A098","D1A098","11A7C0","D1A7C0","C0A7",
77,"11A09A","D1A09A","11A7D1","D1A7D1","D1A7",
78,"11A09C","D1A09C","11A7E2","D1A7E2","E2A7",
79,"11A09E","D1A09E","11A7F3","D1A7F3","F3A7",
80,"11A0A0","D1A0A0","11A804","D1A804","04A8",
81,"11A0A2","D1A0A2","11A815","D1A815","15A8",
82,"11A0A4","D1A0A4","11A826","D1A826","26A8",
83,"11A0A6","D1A0A6","11A837","D1A837","37A8",
84,"11A0A8","D1A0A8","11A848","D1A848","48A8",
85,"11A0AA","D1A0AA","11A859","D1A859","59A8",
86,"11A0AC","D1A0AC","11A86A","D1A86A","6AA8",
87,"11A0AE","D1A0AE","11A87B","D1A87B","7BA8",
88,"11A0B0","D1A0B0","11A88C","D1A88C","8CA8",
89,"11A0B2","D1A0B2","11A89D","D1A89D","9DA8",
90,"11A0B4","D1A0B4","11A8AE","D1A8AE","AEA8",
91,"11A0B6","D1A0B6","11A8BF","D1A8BF","BFA8",
92,"11A0B8","D1A0B8","11A8D0","D1A8D0","D0A8",
93,"11A0BA","D1A0BA","11A8E1","D1A8E1","E1A8",
94,"11A0BC","D1A0BC","11A8F2","D1A8F2","F2A8",
95,"11A0BE","D1A0BE","11A903","D1A903","03A9",
96,"11A0C0","D1A0C0","11A914","D1A914","14A9",
97,"11A0C2","D1A0C2","11A925","D1A925","25A9",
98,"11A0C4","D1A0C4","11A936","D1A936","36A9",
99,"11A0C6","D1A0C6","11A947","D1A947","47A9",
100,"11A0C8","D1A0C8","11A958","D1A958","58A9",
101,"11A0CA","D1A0CA","11A979","D1A979","79A9",
102,"11A0CC","D1A0CC","11A99A","D1A99A","9AA9",
103,"11A0CE","D1A0CE","11A9BB","D1A9BB","BBA9",
104,"11A0D0","D1A0D0","11A9DC","D1A9DC","DCA9",
105,"11A0D2","D1A0D2","11A9FD","D1A9FD","FDA9",
106,"11A0D4","D1A0D4","11AA1E","D1AA1E","1EAA",
107,"11A0D6","D1A0D6","11AA3F","D1AA3F","3FAA",
108,"11A0D8","D1A0D8","11AA60","D1AA60","60AA",
109,"11A0DA","D1A0DA","11AA81","D1AA81","81AA",
110,"11A0DC","D1A0DC","11AAA2","D1AAA2","A2AA",
111,"11A0DE","D1A0DE","11ABDE","D1ABDE","DEAB",
112,"11A0E0","D1A0E0","11ACC8","D1ACC8","C8AC",
113,"11A0E2","D1A0E2","11ADF0","D1ADF0","F0AD",
114,"11A0E4","D1A0E4","11AE06","D1AE06","06AE",
115,"11A0E6","D1A0E6","11AE1C","D1AE1C","1CAE",
116,"11A0E8","D1A0E8","11AE37","D1AE37","37AE",
117,"11A0EA","D1A0EA","11AFC9","D1AFC9","C9AF",
118,"11A0EC","D1A0EC","11B0E9","D1B0E9","E9B0",
119,"11A0EE","D1A0EE","11B0FF","D1B0FF","FFB0",
120,"11A0F0","D1A0F0","11B115","D1B115","15B1",
121,"11A0F2","D1A0F2","11B12A","D1B12A","2AB1",
122,"11A0F4","D1A0F4","11B14D","D1B14D","4DB1",
123,"11A0F6","D1A0F6","11B170","D1B170","70B1",
124,"11A0F8","D1A0F8","11B193","D1B193","93B1",
125,"11A0FA","D1A0FA","11B1B6","D1B1B6","B6B1",
126,"11A0FC","D1A0FC","11B1D9","D1B1D9","D9B1",
127,"11A0FE","D1A0FE","11B1EE","D1B1EE","EEB1",
128,"11A100","D1A100","11B1FF","D1B1FF","FFB1",
129,"11A102","D1A102","11B214","D1B214","14B2",
130,"11A104","D1A104","11B22E","D1B22E","2EB2",
131,"11A106","D1A106","11B247","D1B247","47B2",
132,"11A108","D1A108","11B367","D1B367","67B3",
133,"11A10A","D1A10A","11B484","D1B484","84B4",
134,"11A10C","D1A10C","11B499","D1B499","99B4",
135,"11A10E","D1A10E","11B64C","D1B64C","4CB6",
136,"11A110","D1A110","11B70E","D1B70E","0EB7",
137,"11A112","D1A112","11B72F","D1B72F","2FB7",
138,"11A114","D1A114","11B750","D1B750","50B7",
139,"11A116","D1A116","11B771","D1B771","71B7",
140,"11A118","D1A118","11B792","D1B792","92B7",
141,"11A11A","D1A11A","11B7B3","D1B7B3","B3B7",
142,"11A11C","D1A11C","11B7D4","D1B7D4","D4B7",
143,"11A11E","D1A11E","11B7F5","D1B7F5","F5B7",
144,"11A120","D1A120","11B80E","D1B80E","0EB8",
145,"11A122","D1A122","11B8DC","D1B8DC","DCB8",
146,"11A124","D1A124","11B96A","D1B96A","6AB9",
147,"11A126","D1A126","11BAAA","D1BAAA","AABA",
148,"11A128","D1A128","11BBF7","D1BBF7","F7BB",
149,"11A12A","D1A12A","11BCF5","D1BCF5","F5BC",
150,"11A12C","D1A12C","11BDFC","D1BDFC","FCBD",
151,"11A12E","D1A12E","11BED5","D1BED5","D5BE",
152,"11A130","D1A130","11BFC9","D1BFC9","C9BF",
153,"11A132","D1A132","11C0F4","D1C0F4","F4C0",
154,"11A134","D1A134","11C22D","D1C22D","2DC2",
155,"11A136","D1A136","11C300","D1C300","00C3",
156,"11A138","D1A138","11C3E5","D1C3E5","E5C3",
157,"11A13A","D1A13A","11C53A","D1C53A","3AC5",
158,"11A13C","D1A13C","11C662","D1C662","62C6",
159,"11A13E","D1A13E","11C864","D1C864","64C8",
160,"11A140","D1A140","11C996","D1C996","96C9",
161,"11A142","D1A142","11CA8F","D1CA8F","8FCA",
162,"11A144","D1A144","11CC82","D1CC82","82CC",
163,"11A146","D1A146","11CD44","D1CD44","44CD",
164,"11A148","D1A148","11CF88","D1CF88","88CF",
165,"11A14A","D1A14A","11D0C6","D1D0C6","C6D0",
166,"11A14C","D1A14C","11D0DB","D1D0DB","DBD0",
167,"11A14E","D1A14E","11D0F0","D1D0F0","F0D0",
168,"11A150","D1A150","11D105","D1D105","05D1",
169,"11A152","D1A152","11D11A","D1D11A","1AD1",
170,"11A154","D1A154","11D12F","D1D12F","2FD1",
171,"11A156","D1A156","11D144","D1D144","44D1",
172,"11A158","D1A158","11D2CC","D1D2CC","CCD2",
173,"11A15A","D1A15A","11D38E","D1D38E","8ED3",
174,"11A15C","D1A15C","11D39A","D1D39A","9AD3",
175,"11A15E","D1A15E","11D3A6","D1D3A6","A6D3",
176,"11A160","D1A160","11D3B2","D1D3B2","B2D3",
177,"11A162","D1A162","11D3BE","D1D3BE","BED3",
178,"11A164","D1A164","11D3CA","D1D3CA","CAD3",
179,"11A166","D1A166","11D3D6","D1D3D6","D6D3",
180,"11A168","D1A168","11D3E2","D1D3E2","E2D3",
181,"11A16A","D1A16A","11D3EE","D1D3EE","EED3",
182,"11A16C","D1A16C","11D3FA","D1D3FA","FAD3",
183,"11A16E","D1A16E","11D406","D1D406","06D4",
184,"11A170","D1A170","11D412","D1D412","12D4",
185,"11A172","D1A172","11D41E","D1D41E","1ED4",
186,"11A174","D1A174","11D42A","D1D42A","2AD4",
187,"11A176","D1A176","11D436","D1D436","36D4",
188,"11A178","D1A178","11D442","D1D442","42D4",
189,"11A17A","D1A17A","11D44E","D1D44E","4ED4",
190,"11A17C","D1A17C","11D45A","D1D45A","5AD4",
191,"11A17E","D1A17E","11D653","D1D653","53D6",
192,"11A180","D1A180","11D6EF","D1D6EF","EFD6",
193,"11A182","D1A182","11D8F5","D1D8F5","F5D8",
194,"11A184","D1A184","11DA62","D1DA62","62DA",
195,"11A186","D1A186","11DCDB","D1DCDB","DBDC",
196,"11A188","D1A188","11DDD9","D1DDD9","D9DD",
197,"11A18A","D1A18A","11DECE","D1DECE","CEDE",
198,"11A18C","D1A18C","11DFCA","D1DFCA","CADF",
199,"11A18E","D1A18E","11DFD9","D1DFD9","D9DF",
200,"11A190","D1A190","11DFE7","D1DFE7","E7DF",
201,"11A192","D1A192","11DFF5","D1DFF5","F5DF",
202,"11A194","D1A194","11E0EE","D1E0EE","EEE0",
203,"11A196","D1A196","11E2B9","D1E2B9","B9E2",
204,"11A198","D1A198","11E438","D1E438","38E4",
205,"11A19A","D1A19A","11E446","D1E446","46E4",
206,"11A19C","D1A19C","11E454","D1E454","54E4",
207,"11A19E","D1A19E","11E462","D1E462","62E4",
208,"11A1A0","D1A1A0","11E470","D1E470","70E4",
209,"11A1A2","D1A1A2","11E47E","D1E47E","7EE4",
210,"11A1A4","D1A1A4","11E48C","D1E48C","8CE4",
211,"11A1A6","D1A1A6","11E49A","D1E49A","9AE4",
212,"11A1A8","D1A1A8","11E4A8","D1E4A8","A8E4",
213,"11A1AA","D1A1AA","11E4B6","D1E4B6","B6E4",
214,"11A1AC","D1A1AC","11E4C4","D1E4C4","C4E4",
215,"11A1AE","D1A1AE","11E4D2","D1E4D2","D2E4",
216,"11A1B0","D1A1B0","11E4E0","D1E4E0","E0E4",
217,"11A1B2","D1A1B2","11E4FD","D1E4FD","FDE4",
218,"11A1B4","D1A1B4","11E62F","D1E62F","2FE6",
219,"11A1B6","D1A1B6","11E648","D1E648","48E6",
220,"11A1B8","D1A1B8","11E676","D1E676","76E6",
221,"11A1BA","D1A1BA","11E723","D1E723","23E7",
222,"11A1BC","D1A1BC","11E8D6","D1E8D6","D6E8",
223,"11A1BE","D1A1BE","11E8E2","D1E8E2","E2E8",
224,"11A1C0","D1A1C0","11E8EC","D1E8EC","ECE8",
225,"11A1C2","D1A1C2","11E8F8","D1E8F8","F8E8",
226,"11A1C4","D1A1C4","11E904","D1E904","04E9",
227,"11A1C6","D1A1C6","11E910","D1E910","10E9",
228,"11A1C8","D1A1C8","11E91C","D1E91C","1CE9",
229,"11A1CA","D1A1CA","11E928","D1E928","28E9",
230,"11A1CC","D1A1CC","11E934","D1E934","34E9",
231,"11A1CE","D1A1CE","11E940","D1E940","40E9",
232,"11A1D0","D1A1D0","11E94E","D1E94E","4EE9",
233,"11A1D2","D1A1D2","11E95A","D1E95A","5AE9",
234,"11A1D4","D1A1D4","11E966","D1E966","66E9",
235,"11A1D6","D1A1D6","11EA0B","D1EA0B","0BEA",
236,"11A1D8","D1A1D8","11EBE0","D1EBE0","E0EB",
237,"11A1DA","D1A1DA","11EC7B","D1EC7B","7BEC",
238,"11A1DC","D1A1DC","11ED0F","D1ED0F","0FED",
239,"11A1DE","D1A1DE","11ED5A","D1ED5A","5AED",
240,"11A1E0","D1A1E0","11EDF4","D1EDF4","F4ED",
241,"11A1E2","D1A1E2","11EEF3","D1EEF3","F3EE",
242,"11A1E4","D1A1E4","11EF97","D1EF97","97EF",
243,"11A1E6","D1A1E6","11EFA5","D1EFA5","A5EF",
244,"11A1E8","D1A1E8","11EFB3","D1EFB3","B3EF",
245,"11A1EA","D1A1EA","11EFC1","D1EFC1","C1EF",
246,"11A1EC","D1A1EC","110202","D10202","0202",
247,"11A1EE","D1A1EE","110000","D10000","0000",
